n,t(n),t(n)/sqrt(n),t(n)/n^2,t(n)/nln(n)
100,0,,,
200,0,,,
300,1,,,
400,1,,,
500,0,,,
600,0,,,
700,1,,,
800,1,,,
900,1,,,
1000,1,,,
1100,0,,,
1200,1,,,
1300,2,,,
1400,2,,,
1500,1,,,
1600,2,,,
1700,3,,,
1800,3,,,
1900,3,,,
2000,4,,,
2100,4,,,
2200,5,,,
2300,4,,,
2400,5,,,
2500,5,,,
2600,6,,,
2700,7,,,
2800,7,,,
2900,8,,,
3000,8,,,
3100,9,,,
3200,9,,,
3300,10,,,
3400,10,,,
3500,11,,,
3600,11,,,
3700,12,,,
3800,12,,,
3900,13,,,
4000,15,,,
4100,14,,,
4200,14,,,
4300,15,,,
4400,16,,,
4500,17,,,
4600,17,,,
4700,18,,,
4800,19,,,
4900,19,,,
5000,20,,,
5100,20,,,
5200,21,,,
5300,22,,,
5400,23,,,
5500,23,,,
5600,24,,,
5700,25,,,
5800,26,,,
5900,27,,,
6000,27,,,
6100,29,,,
6200,29,,,
6300,31,,,
6400,33,,,
6500,31,,,
6600,32,,,
6700,33,,,
6800,34,,,
6900,35,,,
7000,37,,,
7100,37,,,
7200,39,,,
7300,42,,,
7400,42,,,
7500,41,,,
7600,42,,,
7700,44,,,
7800,43,,,
7900,45,,,
8000,45,,,
8100,47,,,
8200,47,,,
8300,49,,,
8400,49,,,
8500,51,,,
8600,52,,,
8700,55,,,
8800,54,,,
8900,55,,,
9000,56,,,
9100,57,,,
9200,59,,,
9300,59,,,
9400,61,,,
9500,62,,,
9600,63,,,
9700,65,,,
9800,65,,,
9900,67,,,
10000,67,,,
10100,69,,,
10200,87,,,
10300,77,,,
10400,74,,,
10500,74,,,
10600,78,,,
10700,78,,,
10800,78,,,
10900,80,,,
11000,81,,,
11100,83,,,
11200,83,,,
11300,84,,,
11400,90,,,
11500,88,,,
11600,89,,,
11700,90,,,
11800,92,,,
11900,93,,,
12000,95,,,
12100,97,,,
12200,97,,,
12300,99,,,
12400,112,,,
12500,106,,,
12600,108,,,
12700,105,,,
12800,108,,,
12900,108,,,
13000,109,,,
13100,111,,,
